Sr No.,Utterance,miss,actual,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
545,Uh-huh! Why do you think it takes me so long to answer the door?,False,,Phoebe,joy,positive,55,2,5,23,"00:05:32,915","00:05:35,834"
546,"I know, I lied! I didnt want her to think I was a terrible mother! I cant even see my own baby!",False,,Rachel,sadness,negative,56,0,8,3,"00:20:08,874","00:20:12,877"
547,"Oh sure, come here!  Sure you can! Uh, look come here look,  its-its-its, its right there .",True,neutral,Ross,neutral,neutral,56,1,8,3,"00:20:13,086","00:20:19,050"
548,"Oh. Oh, its beautiful. I see it now.",False,,Rachel,joy,positive,56,2,8,3,"00:20:21,803","00:20:30,144"
549,Do you really?,True,neutral,Ross,neutral,neutral,56,3,8,3,"0:20:31,480","0:20:32,372"
550,"No, I dont see it!",True,anger,Rachel,anger,negative,56,4,8,3,"0:20:32,372","0:20:34,788"
551,"Come on! Come on! Here, okay-okay, you see this?  This tiny thing that looks like a peanut?",True,joy,Ross,joy,positive,56,5,8,3,"00:20:37,861","00:20:43,199"
552,Yeah.,False,,Rachel,neutral,neutral,56,6,8,3,"00:20:44,034","00:20:45,076"
553,Sweetie thats it.,False,,Ross,joy,positive,56,7,8,3,"00:20:45,994","00:20:47,787"
554,"Thats it? Well I saw that! Ohh-ohh-oh, thank you.",True,joy,Rachel,joy,positive,56,8,8,3,"00:20:48,372","00:21:01,175"
555,Youre welcome.,False,,Ross,neutral,neutral,56,9,8,3,"00:20:57,881","00:21:01,175"
556,Wow! I cant believe thats our baby.,False,,Rachel,surprise,positive,56,10,8,3,"0:21:04,554","0:21:08,396"
557,"Yeah, thats our baby.",True,joy,Ross,joy,positive,56,11,8,3,"0:21:08,396","0:21:08,907"
564,Hey!,True,joy,Chandler,joy,positive,58,0,6,16,"0:14:31,328","0:14:31,662"
565,Hey!,True,joy,Monica,joy,positive,58,1,6,16,"0:14:31,662","0:14:32,984"
566,Let me tell you about this chick I scored with last night! Oh no wait a minute that was you!,False,,Chandler,joy,positive,58,2,6,16,"00:14:33,873","00:14:41,379"
567,"Hey, check me out, Im a slut!",False,,Monica,joy,positive,58,3,6,16,"00:14:41,547","00:14:44,716"
568,"So you uh, want to do something tonight?",True,disgust,Chandler,neutral,neutral,58,4,6,16,"00:14:47,386","00:14:49,262"
569,Oh I cant. Dr. Roger is coming over again.,False,,Monica,neutral,neutral,58,5,6,16,"00:14:49,430","00:14:51,764"
570,Oh.,False,,Chandler,neutral,neutral,58,6,6,16,"0:14:53,434","0:14:54,018"
571,Oh right!,False,,Chandler,surprise,positive,58,7,6,16,"0:14:54,018","0:14:55,708"
572,Right!,False,,Chandler,surprise,positive,58,8,6,16,"00:14:55,811","00:14:56,811"
573,"Because youre still seeing him and uh, hes a good guy.",False,,Chandler,sadness,negative,58,9,6,16,"00:14:55,811","00:14:59,230"
574,"I mean, I remember a time when",False,,Chandler,sadness,negative,58,10,6,16,"00:14:59,398","00:15:00,523"
575,Are you okay?,False,,Monica,neutral,neutral,58,11,6,16,"0:15:03,444","0:15:04,320"
576,"Yeah! Totally! Totally, and you?",False,,Chandler,joy,positive,58,12,6,16,"0:15:04,320","0:15:06,372"
577,"Great! Its so amazing! I mean, last time Dr. Roger came over, I was",False,,Monica,joy,positive,58,13,6,16,"00:15:07,656","00:15:13,077"
578,I bet he can.,False,,Chandler,neutral,neutral,58,14,6,16,"00:15:17,958","00:15:19,375"
579,"Yknow, I dont have an appointment, but I sure could use a physical.  Are you sure youre okay?",False,,Monica,neutral,neutral,58,15,6,16,"00:15:19,543","00:15:31,137"
580,"Oh yeah! Yeah! Dont worry about me, Ill be fine!",False,,Chandler,sadness,negative,58,16,6,16,"00:15:27,551","00:15:31,137"
584,"Yeah, but what if it's not? What if there    is a reason why we can't have a baby?",False,,Chandler,fear,negative,60,0,9,21,"00:18:12,091","00:18:16,928"
585,"Oh, Chandler, look. You and Monica are meant to have children.    I am sure it's gonna be just fine.",True,neutral,Janice,neutral,neutral,60,1,9,21,"00:18:17,096","00:18:22,642"
586,"oh, oh, yeah, ok, thanks.",False,,Chandler,joy,positive,60,2,9,21,"0:18:24,269","0:18:27,031"
587,I can't believe    I didn't even think of that.,True,surprise,Chandler,surprise,positive,60,3,9,21,"0:18:27,031","0:18:29,625"
588,I guess I was just so worried about having to...    come here and do... 'that'...,True,surprise,Chandler,sadness,negative,60,4,9,21,"00:18:29,733","00:18:34,320"
589,"What, you can do it in the parking lot of a Taco Bell, but you    can't do it at a doctor's office?",True,sadness,Janice,anger,negative,60,5,9,21,"00:18:34,488","00:18:39,492"
590,"It was a ""Wendy's!!    """,True,sadness,Chandler,anger,negative,60,6,9,21,"00:18:41,829","00:18:44,122"
596,Hey.,True,sadness,Phoebe,neutral,neutral,63,0,1,4,"0:15:53,160","0:15:54,752"
597,Hey!,False,,Ross,neutral,neutral,63,1,1,4,"0:15:54,752","0:15:56,809"
598,"So, you stole my joke, and you stole my money.",False,,Chandler,anger,negative,64,0,6,12,"00:05:41,507","00:05:44,843"
599,"Well, I was going to stick it in the ATM, but now I think Ill show the sexy teller that I am a published writer.",False,,Ross,neutral,neutral,64,1,6,12,"00:05:45,219","00:05:53,310"
600,"Well, she is going to know that you stole the joke.",False,,Chandler,anger,negative,64,2,6,12,"00:05:53,561","00:05:55,771"
601,"Oh, what are you going to do, follow me down there?",False,,Ross,anger,negative,64,3,6,12,"00:05:56,022","00:05:57,481"
602,Yeah!,True,anger,Chandler,anger,negative,64,4,6,12,"0:05:57,732","0:05:58,400"
603,"Well, Im not going to go now anyway .",False,,Ross,neutral,neutral,64,5,6,12,"0:05:58,400","0:05:59,574"
604,Okay .,False,,Chandler,neutral,neutral,64,6,6,12,"00:05:59,776","00:06:01,109"
605,Here you go.,False,,Gunther,neutral,neutral,64,7,6,12,"00:06:03,905","00:06:05,822"
606,"Ah, Gunther, I cant pay for this right now because Im not working, so Ive had to cut down on some luxuries like uh, payin for stuff.",False,,Joey,neutral,neutral,64,8,6,12,"00:06:07,950","00:06:18,210"
607,"Well, if you want, you can work here.",False,,Gunther,neutral,neutral,64,9,6,12,"00:06:19,879","00:06:21,963"
608,"Uh, I dont know.",False,,Joey,neutral,neutral,64,10,6,12,"00:06:22,799","00:06:24,049"
609,"Ya see, its just, see I was a regular on a soap opera yknow?",False,,Joey,neutral,neutral,64,11,6,12,"00:06:24,258","00:06:29,262"
610,"And to go from that to this, I just Plus, Id have to wait on all my friends.",False,,Joey,sadness,negative,64,12,6,12,"00:06:29,472","00:06:35,435"
611,"Okay, but the moneys good, plus you get to stare at Rachel as much as you want.",False,,Gunther,neutral,neutral,64,13,6,12,"00:06:35,812","00:06:40,524"
612,What?!,False,,Joey,surprise,negative,64,14,6,12,"00:06:43,194","00:06:44,486"
613,Flexible hours.,False,,Gunther,neutral,neutral,64,15,6,12,"00:06:44,695","00:06:46,780"
614,Maybe I could be a waiter. Could I use the phone?,False,,Joey,neutral,neutral,64,16,6,12,"00:06:48,032","00:06:51,451"
615,I have no name.,False,,Chandler,neutral,neutral,65,0,4,18,"00:17:18,328","00:17:20,288"
616,"All right, so, what are we supposed to call you?",False,,Phoebe,neutral,neutral,65,1,4,18,"00:17:21,040","00:17:23,249"
617,"Okay uh, for now, temporarily, you can call me, Clint.",False,,Chandler,neutral,neutral,65,2,4,18,"00:17:23,500","00:17:29,172"
618,No way are you cool enough to pull of Clint.,False,,Joey,disgust,negative,65,3,4,18,"00:17:30,466","00:17:33,551"
619,"Okay, so what name am I cool enough to pull off?",False,,Chandler,surprise,negative,65,4,4,18,"0:17:33,719","0:17:35,861"
620,"Umm, Gene.",False,,Phoebe,neutral,neutral,65,5,4,18,"0:17:35,861","0:17:36,112"
621,Its Clint. Its Clint!,False,,Chandler,anger,negative,65,6,4,18,"00:17:41,018","00:17:44,228"
622,"See you later, Gene.",False,,Joey,neutral,neutral,65,7,4,18,"0:17:44,730","0:17:45,542"
623,"Bye, Gene.",False,,Phoebe,neutral,neutral,65,8,4,18,"0:17:45,542","0:17:46,694"
624,Its Clint!,True,disgust,Chandler,anger,negative,65,9,4,18,"00:17:47,900","00:17:50,651"
625,Whats up with Gene?,True,surprise,Joey,surprise,negative,65,10,4,18,"00:17:53,572","00:17:55,364"
626,Welcome to Las Vegas.,False,,Flight Attendant,neutral,neutral,66,0,5,23,"00:21:50,434","00:21:52,476"
627,Thank you!  Enjoy your flight?,True,anger,Flight Attendant,joy,positive,66,1,5,23,"00:21:53,603","00:21:55,771"
628,"Yes, I did. Thank you very much, it was excellent.",False,,Rachel,joy,positive,66,2,5,23,"00:21:53,603","00:21:58,524"
629,Hope you had a nice flight.,False,,Flight Attendant,neutral,neutral,66,3,5,23,"0:21:59,735","0:22:00,867"
630,"Ohh, it was the best!",True,anger,Ross,joy,positive,66,4,5,23,"0:22:00,867","0:22:03,853"
631,"Oh, Larry.",True,surprise,Monica,neutral,neutral,67,0,5,7,"00:02:03,206","00:02:04,665"
632,"Umm, do health inspectors work on commission?",False,,Phoebe,neutral,neutral,67,1,5,7,"00:02:05,375","00:02:07,751"
633,"No, bribes.",False,,Larry,neutral,neutral,67,2,5,7,"00:02:07,961","00:02:09,378"
634,It's okay to laugh right?,False,,Phoebe,joy,positive,67,3,5,7,"00:02:09,587","00:02:12,673"
635,Come on Joey!!!,False,,Rachel,anger,negative,68,0,5,12,"00:00:02,377","00:00:03,836"
636,"Rach, I told you everything I knew last night!",False,,Joey,anger,negative,68,1,5,12,"00:00:04,004","00:00:06,380"
637,"Look, it's not that big of a deal, so Monica and Chandler are doing it.",False,,Joey,neutral,neutral,68,2,5,12,"00:00:06,589","00:00:10,300"
638,I can't believe you would say that!,False,,Rachel,sadness,negative,68,3,5,12,"00:00:10,468","00:00:13,137"
639,Sorry. Monica and Chandler are making love.,False,,Joey,neutral,neutral,68,4,5,12,"00:00:13,346","00:00:17,057"
640,No! I mean come on! This is a,False,,Rachel,anger,negative,68,5,5,12,"00:00:18,184","00:00:21,854"
641,I don't know.,False,,Joey,neutral,neutral,68,6,5,12,"00:00:25,692","00:00:27,484"
642,Is he romantic with her?,False,,Rachel,joy,positive,68,7,5,12,"00:00:28,361","00:00:30,404"
643,I don't know.,False,,Joey,neutral,neutral,68,8,5,12,"00:00:31,031","00:00:32,698"
644,Are they in love?,False,,Rachel,joy,positive,68,9,5,12,"00:00:33,908","00:00:35,200"
645,I don't know.,False,,Joey,neutral,neutral,68,10,5,12,"00:00:36,286","00:00:38,037"
646,You don't know anything.,False,,Rachel,anger,negative,68,11,5,12,"00:00:38,830","00:00:40,330"
647,"Ohh, I know one thing!",True,neutral,Joey,joy,positive,68,12,5,12,"0:00:40,498","0:00:41,750"
648,What?,False,,Rachel,joy,positive,68,13,5,12,"0:00:41,750","0:00:42,312"
649,They did it right there on the couch.,False,,Joey,neutral,neutral,68,14,5,12,"00:00:42,417","00:00:44,710"
656,"So you see, Molly, what people don't understand is that acting    is a discipline. It takes a lot of hard work.",False,,Joey,neutral,neutral,70,0,9,12,"00:15:53,744","00:15:59,916"
657,So where did you study?,False,,Molly,neutral,neutral,70,1,9,12,"0:16:00,125","0:16:01,377"
658,"Oh, I didn't go to college.",False,,Joey,neutral,neutral,70,2,9,12,"0:16:01,377","0:16:03,069"
659,"No, where did you study acting?",False,,Molly,neutral,neutral,70,3,9,12,"0:16:03,212","0:16:04,714"
660,Molly ... people don't study acting ...,False,,Joey,neutral,neutral,70,4,9,12,"0:16:04,714","0:16:09,164"
661,"Molly, ah, do you mind giving us just a minute?",False,,Ross,neutral,neutral,70,5,9,12,"00:16:11,971","00:16:15,765"
662,"Sure, I'll go check on Emma.",False,,Molly,neutral,neutral,70,6,9,12,"0:16:15,975","0:16:17,268"
663,Thanx.,False,,Ross,neutral,neutral,70,7,9,12,"0:16:17,268","0:16:18,291"
664,Will the stable boy never get the princess??,False,,Joey,sadness,negative,70,8,9,12,"00:16:20,187","00:16:23,231"
665,"What do you think you're gonna do, have sex with her right here    on my couch?",False,,Ross,disgust,negative,70,9,9,12,"00:16:23,565","00:16:27,735"
666,No ... the leather sticks to my ass.,False,,Joey,disgust,negative,70,10,9,12,"00:16:27,945","00:16:31,155"
667,"You know, this isn't fair.",False,,Joey,anger,negative,70,11,9,12,"00:16:32,491","00:16:35,535"
668,What makes you think that I'm just gonna sleep with her and then blow her off?,False,,Joey,anger,negative,70,12,9,12,"0:16:35,703","0:16:37,205"
669,Huh?,False,,Joey,anger,negative,70,13,9,12,"0:16:37,205","0:16:37,357"
670,"Can't you guys open your minds to the possibility that I actally like her,    and might want something real?",True,joy,Joey,anger,negative,70,14,9,12,"00:16:37,454","00:16:43,876"
671,"Look, the truth is, I haven't felt this    way about anyone since Rachel, ok?",False,,Joey,sadness,negative,70,15,9,12,"00:16:45,462","00:16:51,000"
672,I didn't think I could ever love again.,False,,Joey,sadness,negative,70,16,9,12,"00:16:50,634","00:16:53,970"
673,Come on! Joe!,False,,Ross and Chandler,joy,positive,70,17,9,12,"00:16:54,930","00:16:56,431"
675,"Hi, is Molly here?",False,,Woman,neutral,neutral,70,18,9,12,"00:17:02,771","00:17:04,647"
676,"Yeah, come on in. Molly?",False,,Ross,neutral,neutral,70,19,9,12,"00:17:04,815","00:17:07,025"
677,"Hey! Guys, this is Tabatha .  I'll see you tomorrow.",False,,Molly,neutral,neutral,70,20,9,12,"00:17:07,526","00:17:16,993"
678,"Ok ...  Well, uh, Joey, I guess    we have no problem.",False,,Ross,neutral,neutral,70,21,9,12,"00:17:26,170","00:17:31,340"
679,"It's like my favorite fairy tale come true!  The princess, the stable boy and the lesbian!",False,,Joey,joy,positive,70,22,9,12,"00:17:32,426","00:17:41,017"
694,This rooms available.,False,,Nurse,neutral,neutral,72,0,8,23,"0:19:16,476","0:19:18,145"
695,Okay!,True,joy,Rachel,joy,positive,72,1,8,23,"0:19:18,145","0:19:18,646"
696,Okay wait!,False,,Rachel,anger,negative,72,2,8,23,"0:19:18,646","0:19:19,168"
697,You listen to me!,False,,Rachel,anger,negative,72,3,8,23,"0:19:19,168","0:19:19,880"
698,You listen to me!,False,,Rachel,anger,negative,72,4,8,23,"0:19:19,880","0:19:20,150"
699,"Since I have been waiting four women, thats four, one higher than the number of centimeters that I am dilated, have come and gone with their babies!",False,,Rachel,anger,negative,72,5,8,23,"00:19:20,147","00:19:31,950"
700,Im next!,False,,Rachel,anger,negative,72,6,8,23,"0:19:26,612","0:19:30,199"
701,Its my turn!,False,,Rachel,anger,negative,72,7,8,23,"0:19:30,199","0:19:31,284"
702,Its only fair!,False,,Rachel,anger,negative,72,8,8,23,"0:19:31,284","0:19:32,059"
703,And if you bring in one woman and she has her baby before me Im going to sue you!,False,,Rachel,anger,negative,72,9,8,23,"00:19:32,117","00:19:36,246"
704,"Not this hospital, Im going to sue you!",False,,Rachel,anger,negative,72,10,8,23,"0:19:37,623","0:19:39,667"
705,And my husband  hes a lawyer!,False,,Rachel,anger,negative,72,11,8,23,"0:19:39,667","0:19:41,988"
706,Uh Rach,False,,Ross,neutral,neutral,72,12,8,23,"0:19:42,085","0:19:42,795"
707,Go get back on that case honey!,False,,Rachel,anger,negative,72,13,8,23,"0:19:42,795","0:19:45,986"
708,I dont think the next patient is very far along.,False,,Nurse,neutral,neutral,72,14,8,23,"00:19:46,131","00:19:49,176"
709,"Okay, well then bring her in.",False,,Rachel,neutral,neutral,72,15,8,23,"00:19:49,384","00:19:52,971"
710,OH.MY.GAWD!!!,False,,Woman,surprise,positive,72,16,8,23,"00:20:01,146","00:20:06,568"
711,"Ross-Ross-Ross-Ross! Stay away from that guy , and that guy . And that oneDude! Theyre all huge!",False,,Joey,fear,negative,73,0,4,15,"00:11:26,811","00:11:34,234"
712,They dont look any bigger than me!,False,,Ross,neutral,neutral,73,1,4,15,"00:11:35,111","00:11:36,778"
713,"Well, maybe thats because youre closer to you. So you look bigger to you from where you are.",True,fear,Joey,anger,negative,73,2,4,15,"00:11:36,946","00:11:40,990"
714,Im just going to say hi to the lads. All right?,True,neutral,Emily,neutral,neutral,73,3,4,15,"00:11:43,035","00:11:45,036"
715,All right.,True,anger,Ross,neutral,neutral,73,4,4,15,"0:11:45,204","0:11:45,636"
716,Okay.,False,,Emily,neutral,neutral,73,5,4,15,"0:11:45,636","0:11:47,018"
717,Hi.,False,,Phoebe,neutral,neutral,73,6,4,15,"00:11:49,667","00:11:51,376"
718,Whoa!  I kinda liked it.,False,,Phoebe,joy,positive,73,7,4,15,"00:11:51,544","00:11:56,005"
719,"Okay, I know what I have to do. Ive got to go Red Ross.  Yknow, Red Ross!",False,,Ross,anger,negative,73,8,4,15,"00:11:57,717","00:12:01,094"
720,I totally dont know what youre talking about.,True,joy,Joey,neutral,neutral,73,9,4,15,"00:12:05,641","00:12:07,684"
721,Come on! The time we were all waiting in line for,True,anger,Ross,anger,negative,73,10,4,15,"00:12:07,852","00:12:10,979"
722,Y'know you guys were a lot more supportive when I wanted to make denim furniture.,True,neutral,Phoebe,joy,positive,74,0,4,11,"00:04:58,131","00:05:02,634"
723,"No, Pheebs, listen, if you decide to do this, well be supportive like crazy.",False,,Joey,neutral,neutral,74,1,4,11,"00:05:02,885","00:05:06,680"
725,We just want you to think it through.,False,,Monica,neutral,neutral,74,2,4,11,"00:05:06,889","00:05:08,390"
726,"Yeah, honey, maybe you can talk to somebody whos had a baby. Like your mom?",False,,Rachel,neutral,neutral,74,3,4,11,"00:05:08,558","00:05:11,727"
727,My mom never gave birth. Oh! But my birth mom did.,False,,Phoebe,neutral,neutral,74,4,4,11,"00:05:12,020","00:05:16,815"
728,"Umm, thank you for meeting with me.",False,,Phoebe,neutral,neutral,75,0,5,13,"00:15:46,570","00:15:48,196"
729,Thank you. All right.,False,,Frank Sr.,neutral,neutral,75,1,5,13,"00:15:48,447","00:15:49,822"
730,"Come, sit.",False,,Phoebe,neutral,neutral,75,2,5,13,"00:15:50,491","00:15:51,950"
731,Sit.,False,,Phoebe,neutral,neutral,75,3,5,13,"00:15:54,203","00:15:55,495"
732,Sit!,False,,Phoebe,anger,negative,75,4,5,13,"00:15:55,913","00:15:57,372"
733,"Umm, all righty, before we get started I justI need you to state for the official record that you are in fact Frank Buffay.",True,joy,Phoebe,neutral,neutral,75,5,5,13,"00:15:58,832","00:16:06,631"
734,Lucky sixes....,False,,Ross,neutral,neutral,76,0,1,7,"00:15:15,247","00:15:17,081"
735,"Everybody, this is Paolo. Paolo, I want you to meet my friends. This is Monica.",False,,Rachel,neutral,neutral,76,1,1,7,"00:15:18,000","00:15:23,338"
736,Hi!,False,,Monica,neutral,neutral,76,2,1,7,"00:15:23,589","00:15:26,424"
737,And Joey....,True,neutral,Rachel,neutral,neutral,76,3,1,7,"0:15:26,592","0:15:27,510"
738,Hi!,False,,Monica,neutral,neutral,76,4,1,7,"0:15:27,510","0:15:28,913"
739,And Ross.,False,,Rachel,neutral,neutral,76,5,1,7,"0:15:29,011","0:15:30,903"
740,Hi!,False,,Monica,neutral,neutral,76,6,1,7,"0:15:30,903","0:15:32,617"
741,He doesn't speak much English.,False,,Rachel,neutral,neutral,76,7,1,7,"00:15:37,895","00:15:41,064"
742,Look at that!,False,,Rachel,surprise,positive,76,8,1,7,"00:15:45,653","00:15:47,445"
743,"So, um... where did Paolo come from?",False,,Ross,neutral,neutral,76,9,1,7,"00:15:50,658","00:15:52,158"
744,"Oh... Italy, I think.",False,,Rachel,neutral,neutral,76,10,1,7,"00:15:53,035","00:15:54,702"
745,"No, I mean tonight, in the building. Suddenly. Into our lives.",False,,Ross,neutral,neutral,76,11,1,7,"00:15:54,995","00:15:58,873"
746,"Well, the cat... the cat turned out to be Paolo's cat!",False,,Rachel,neutral,neutral,76,12,1,7,"00:16:00,209","00:16:04,337"
747,"That, that is funny... .... and Rachel keeps touching him.",False,,Ross,neutral,neutral,76,13,1,7,"00:16:06,173","00:16:09,425"
748,Alright. I looked all over the building and I couldn't find the kitty anywhere.,False,,Phoebe,neutral,neutral,76,14,1,7,"00:16:12,179","00:16:16,307"
749,"Oh, I found him. He was Paolo's cat.",False,,Rachel,neutral,neutral,76,15,1,7,"00:16:16,558","00:16:18,977"
750,Ah! Well! There you go! Last to know again! And I'm guessing... since nobody told me... this is Paolo.,False,,Phoebe,joy,positive,76,16,1,7,"00:16:19,228","00:16:26,943"
751,"Ah, Paolo, this is Phoebe.",False,,Rachel,neutral,neutral,76,17,1,7,"00:16:27,194","00:16:29,946"
752,You betcha!,False,,Phoebe,joy,positive,76,18,1,7,"00:16:35,536","00:16:36,786"
773,What?! You got us evicted!!,False,,Rachel,anger,negative,80,0,4,4,"0:06:52,620","0:06:55,749"
774,I told you not to go down there!,False,,Monica,anger,negative,80,1,4,4,"0:06:55,749","0:06:55,892"
775,Well he made Rachel cry!,True,disgust,Joey,disgust,negative,80,2,4,4,"00:06:56,124","00:06:57,332"
776,Rachel always cries!,False,,Monica,anger,negative,80,3,4,4,"00:06:57,542","00:06:59,251"
777,Thats not true!,False,,Rachel,anger,negative,80,4,4,4,"00:07:00,503","00:07:02,546"
778,"Now Joey, you go down there and you suck up to him. I mean you suck like youve never sucked before!",True,neutral,Monica,neutral,neutral,80,5,4,4,"00:07:04,340","00:07:10,262"
779,"All right! Ill try! But if I cant, you can stay with Chandler and I until you get settled.",False,,Joey,neutral,neutral,80,6,4,4,"00:07:11,556","00:07:16,952"
780,Go!!,False,,Rachel,anger,negative,80,7,4,4,"0:07:17,019","0:07:18,491"
781,"All right, all right, all right.",False,,Joey,neutral,neutral,80,8,4,4,"0:07:18,491","0:07:19,281"
782,"I mean Ill have to check with him first, but Ill think hell be cool with it.",False,,Joey,neutral,neutral,80,9,4,4,"00:07:19,522","00:07:22,065"
783,"So, hes just a nice guy. You really think this Mark doesnt want anything in exchange for helping him?",False,,Ross,joy,positive,81,0,3,11,"00:09:10,967","00:09:17,973"
784,"Well, I assume Ill have to take showers with him, but y'know, thats true of any job.",True,joy,Rachel,neutral,neutral,81,1,3,11,"00:09:18,140","00:09:22,978"
806,Its a trifle.,False,,Rachel,neutral,neutral,86,0,6,9,"0:07:35,371","0:07:36,293"
807,Its got all of these layers.,False,,Rachel,neutral,neutral,86,1,6,9,"0:07:36,293","0:07:37,676"
808,"First theres a layer of ladyfingers, then a layer of jam, then custard, which I made from scratch.",False,,Rachel,neutral,neutral,86,2,6,9,"00:07:37,874","00:07:45,172"
809,"[Joey and Ross make impressed faces] Then raspberries, more ladyfingers, then beef sautéed with peas and onions, [Joey and Ross look like somethings wrong.]",False,,Rachel,neutral,neutral,86,3,6,9,"00:07:45,381","00:07:49,634"
810,"then a little more custard, and then bananas, and then I just put some whipped cream on top!",False,,Rachel,neutral,neutral,86,4,6,9,"00:07:50,095","00:07:56,183"
811,It tastes like feet!,True,anger,Ross,disgust,negative,86,5,6,9,"00:17:20,539","00:17:22,582"
812,I like it.,True,surprise,Joey,joy,positive,86,6,6,9,"00:17:24,960","00:17:26,335"
813,Are you kidding?,False,,Ross,surprise,negative,86,7,6,9,"00:17:29,923","00:17:30,965"
814,Does anyone else think David Copperfield is cute?,False,,Chandler,neutral,neutral,87,0,3,5,"00:02:30,567","00:02:33,110"
815,"No, but he told me, he thinks your a fox.",True,sadness,Monica,neutral,neutral,87,1,3,5,"00:02:35,238","00:02:38,448"
816,"Welcome everybody, welcome to Amazing Discoveries!",False,,Host,joy,positive,88,0,3,4,"00:00:05,755","00:00:08,882"
817,"Oh, oh! It's on again!",True,joy,Phoebe,joy,positive,88,1,3,4,"00:00:10,301","00:00:11,593"
818,"You guys, can we please not watch this all right.",False,,Joey,disgust,negative,88,2,3,4,"0:00:11,761","0:00:13,513"
819,Shhhh!,True,anger,All,anger,negative,88,3,3,4,"0:00:13,513","0:00:14,685"
820,"Folks, has this ever happened to you.",False,,Host,neutral,neutral,88,4,3,4,"0:00:14,806","0:00:16,308"
821,"You go to the refrigerator to get a nice glass of milk,  and these darn cartons are so flingin'-flangin' hard to open.",True,neutral,Host,neutral,neutral,88,5,3,4,"0:00:16,308","0:00:21,718"
822,"Oh, you said it Mike.  Aw! There's got to be a better way!",False,,Joey,anger,negative,88,6,3,4,"00:00:21,855","00:00:30,029"
823,And there is Kevin.,False,,Mike,neutral,neutral,88,7,3,4,"00:00:26,359","00:00:30,029"
824,Can we please turn this off?,True,sadness,Joey,sadness,negative,88,8,3,4,"0:00:30,196","0:00:31,578"
825,"Noo way, Kevin.",True,joy,Rachel,joy,positive,88,9,3,4,"0:00:31,578","0:00:33,504"
826,There is a revolutionary new product that guarantees that you'll never have to open up milk cartons again. Meet the Milk Master 2000.,False,,Mike,neutral,neutral,88,10,3,4,"00:00:33,658","00:00:42,916"
827,Are you intrigued?,True,surprise,Ross,surprise,positive,88,11,3,4,"0:00:45,128","0:00:47,548"
828,You're flingin'-flangin' right I am!,True,joy,Chandler,joy,positive,88,12,3,4,"0:00:47,548","0:00:47,878"
829,"Keep in mind, he's never used this product before, you're gonna see how easy this is to do.",False,,Mike,neutral,neutral,88,13,3,4,"00:00:49,549","00:00:54,053"
833,"Well, you might want to tell him it sounds like his wife is  gay.",False,,Rachel,neutral,neutral,90,0,6,16,"00:19:04,893","00:19:11,065"
834,She is not  Shes gay. Oh my God. She is,False,,Ross,anger,negative,90,1,6,16,"00:19:11,233","00:19:27,957"
835,Good day for married people huh?,False,,Rachel,surprise,negative,90,2,6,16,"00:19:34,464","00:19:37,049"
836,Im sorry your husband cheated on you.,False,,Ross,sadness,negative,90,3,6,16,"00:19:39,595","00:19:41,888"
837,Im sorry your wife is gay. I guess women arent that great either.,False,,Rachel,sadness,negative,90,4,6,16,"00:19:42,055","00:19:50,563"
838,Try telling my wife that.,True,surprise,Ross,sadness,negative,90,5,6,16,"00:19:46,852","00:19:50,563"
846,I cant believe Im going to lose this job!,False,,Joey,sadness,negative,93,0,6,21,"00:18:47,042","00:18:49,001"
847,Oh Im so sorry man! Is there anything I can do?,False,,Chandler,sadness,negative,93,1,6,21,"00:18:49,169","00:18:51,796"
848,Yeah! Help me get this mini-fridge past the security guard.,False,,Joey,neutral,neutral,93,2,6,21,"00:18:51,964","00:18:55,383"
849,"Hey Joey, I want to talk to you.",False,,Wayne,neutral,neutral,93,3,6,21,"00:19:01,181","00:19:03,724"
850,Yeah?,False,,Joey,neutral,neutral,93,4,6,21,"0:19:03,892","0:19:07,605"
854,"Oh, Chandler, Wayne.",False,,Joey,neutral,neutral,93,8,6,21,"0:19:08,480","0:19:09,792"
855,"Wayne, Chandler.",False,,Joey,neutral,neutral,93,9,6,21,"0:19:09,792","0:19:10,627"
856,"Hi, how are ya?",False,,Chandler,neutral,neutral,93,10,6,21,"0:19:10,627","0:19:11,214"
857,"Joey, Joey, I-I-Ill g-get you your job back if you help me out.",True,anger,Wayne,neutral,neutral,93,11,6,21,"00:19:11,775","00:19:15,403"
858,Why should I help you?!,True,surprise,Joey,anger,negative,93,12,6,21,"00:19:15,571","00:19:17,613"
859,The reason he just said.,False,,Chandler,neutral,neutral,93,13,6,21,"0:19:17,781","0:19:18,991"
860,What do you need?,False,,Joey,neutral,neutral,93,14,6,21,"0:19:18,991","0:19:21,758"
861,"I-I-I saw you on stage talking to that beautiful woman, yknow Sarah?",False,,Wayne,neutral,neutral,93,15,6,21,"00:19:22,661","00:19:28,498"
862,What?,False,,Paul,surprise,negative,94,0,6,22,"00:19:05,978","00:19:07,395"
863,And I too am just a love machine.,False,,Ross,neutral,neutral,94,1,6,22,"00:19:09,273","00:19:13,609"
864,"Ross, let me show you where the guest room is.",True,sadness,Paul,neutral,neutral,94,2,6,22,"00:19:34,047","00:19:39,719"
886,Here. I need to borrow some moisturizer.,False,,Joey,neutral,neutral,96,0,1,6,"0:12:12,356","0:12:14,198"
